Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
5Y,EMA(12/50) | RSI>50,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | Pivot(7,5)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | Pivot(7,7)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | Pivot(5,7)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:15%,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(5,5)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:15%,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:15%,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:15%,37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
